Item,Shares,Value ($)
Cash,0.0,9.999999999982277
ABBV,41.80159999999999,7562.75
AKAM,6.8637,753.5
CBOE,80.85189999999999,14690.79
CEG,3.0245999999999995,509.26
COR,45.64959999999999,10839.05
FANG,38.375599999999984,7081.07
FAST,9.144300000000001,688.21
GRMN,15.166,2251.4
IBM,12.729500000000002,2517.65
JNPR,85.2938,3143.08
LDOS,23.0098,2927.77
LLY,3.9193999999999996,2958.96
META,3.4709,1734.59
MOH,5.4027,2174.86
MPC,0.0017000000000000348,0.31
NFLX,2.3547999999999996,1438.98
NRG,96.92089999999999,6038.18
NVDA,4.3433,3992.06
NWS,11.275699999999999,307.49
PGR,36.56359999999999,7273.97
PSX,39.20979999999999,5895.98
QCOM,11.1091,1922.77
RL,7.7131,1391.83
STX,11.513200000000001,1048.97
T,16.792299999999994,288.83
TSN,34.261199999999995,1897.73
UBER,0.007200000000000095,0.57
VLTO,23.8026,2104.87
WAT,9.9248,3506.44
WDC,4.407199999999999,277.53
WM,0.9959,208.93
WRK,66.49980000000002,3119.51
A,0.0002,0.03
CI,0.00030000000000000003,0.11
DVA,0.9785,136.22
KEY,0.0502,0.75
MCK,0.0003,0.16
TGT,0.0002,0.04
