Item,Shares,Value ($)
Cash,0.0,9.909999999982274
ABBV,41.8019,7562.8
AKAM,6.8637999999999995,753.51
CBOE,80.8524,14690.89
CEG,3.0246999999999997,509.27
COR,45.6499,10839.12
FANG,38.37579999999999,7081.11
FAST,9.1446,688.23
GRMN,15.1661,2251.41
IBM,12.729500000000002,2517.65
JNPR,85.29429999999999,3143.1
LDOS,23.0098,2927.77
LLY,3.9194999999999998,2959.03
META,3.4709,1734.59
MOH,5.4027,2174.86
MPC,0.0017000000000000348,0.31
NFLX,2.3548999999999998,1439.04
NRG,96.92169999999999,6038.23
NVDA,4.3433,3992.06
NWS,11.2754,307.49
PGR,36.5639,7274.03
PSX,39.209999999999994,5896.01
QCOM,11.1091,1922.77
RL,7.7132000000000005,1391.85
STX,11.5134,1048.99
T,16.792099999999994,288.83
TSN,34.2617,1897.76
UBER,0.007200000000000095,0.57
VLTO,23.8026,2104.87
WAT,9.9249,3506.47
WDC,4.4074,277.54
WM,0.996,208.96
WRK,66.5001,3119.52
A,0.0002,0.03
CI,0.00030000000000000003,0.11
DVA,0.9786,136.24
KEY,0.0502,0.75
MCK,0.0003,0.16
TGT,0.0002,0.04
