Item,Shares,Value ($)
Cash,0.0,9.829999999996526
A,0.0002,0.03
ABBV,41.5132,7510.57
AKAM,6.8163,748.3
CBOE,80.2936,14589.35
CEG,3.0037,505.74
CI,0.0003,0.11
COR,45.3344,10764.21
DVA,0.9719,135.3
FANG,38.1107,7032.19
FAST,9.081000000000001,683.44
GRMN,15.0613,2235.85
IBM,12.6417,2500.28
JNPR,84.7047,3121.37
KEY,0.0499,0.74
LDOS,22.8509,2907.55
LLY,3.8924,2938.57
MCK,0.0003,0.16
META,3.4469,1722.59
MOH,5.3654,2159.85
MPC,0.0017,0.31
NFLX,2.3386,1429.08
NRG,96.25179999999999,5996.49
NVDA,4.3133,3964.49
NWS,11.1982,305.38
PGR,36.311099999999996,7223.74
PSX,38.939,5855.26
QCOM,11.0324,1909.49
RL,7.6597,1382.2
STX,11.4339,1041.75
T,16.6765,286.84
TGT,0.0002,0.04
TSN,34.0245,1884.62
UBER,0.0072,0.57
VLTO,23.6382,2090.33
WAT,9.8563,3482.24
WDC,4.3767,275.61
WM,0.9891,207.51
WRK,66.0407,3097.97
